"Font","Filename","Familyname","Fullname","weight","style","TTF_Font","TTF_Familyname","TTF_Fullname","TTF_weight","TTF_style","TEX_Name","Slanted_Name","SmallCaps_Name","Outline_Name","Shadow_Name","Wireframe_Name"
"LinLibertineO","LinLibertine_R","Linux Libertine O","Linux Libertine O","Book","Regular","LinLibertine","Linux Libertine","Linux Libertine","Book","Regular","fxlr","LinLibertineSlantedO","LinLibertineCapitalsO",,,
"LinLibertineSlantedO","LinLibertine_aRL","Linux Libertine Slanted O","Linux Libertine Slanted O","Book","Slanted","LinLibertineSlanted","Linux Libertine Slanted","Linux Libertine Slanted","Book","Slanted","fxlro",,,,,
"LinLibertineCapitalsO","LinLibertine_aS","Linux Libertine Capitals O","Linux Libertine Capitals O","Book","Small Caps","LinLibertineCapitals","Linux Libertine Capitals","Linux Libertine Capitals","Book","Small Caps",,,,,,
"LinLibertineOZ","LinLibertine_RZ","Linux Libertine O","Linux Libertine O Semibold","Semibold","Semibold","LinLibertineZ","Linux Libertine","Linux Libertine Semibold","Semibold","Semibold","fxlz","LinLibertineSlantedOZ","LinLibertineCapitalsOZ",,,
"LinLibertineSlantedOZ","LinLibertine_aZL","Linux Libertine Slanted O","Linux Libertine Slanted O Semibold","Semibold","Semibold Slanted","LinLibertineSlantedZ","Linux Libertine Slanted","Linux Libertine Slanted Semibold","Semibold","Semibold Slanted","fxlzo",,,,,
"LinLibertineCapitalsOZ","LinLibertine_aZS","Linux Libertine Capitals O","Linux Libertine Capitals O Semibold","Semibold","Semibold Small Caps","LinLibertineCapitalsZ","Linux Libertine Capitals","Linux Libertine Capitals Semibold","Semibold","Semibold Small Caps",,,,,,
"LinLibertineOZI","LinLibertine_RZI","Linux Libertine O","Linux Libertine O Semibold Italic","Semibold","Semibold Italic","LinLibertineZI","Linux Libertine","Linux Libertine Semibold Italic","Semibold","Semibold Italic","fxlzi",,"LinLibertineCapitalsOSZI",,,
"LinLibertineCapitalsOSZI","LinLibertine_aSZI","Linux Libertine Capitals O","Linux Libertine Capitals O Semibold Italic","Semibold","Semibold Italic Samll Caps","LinLibertineCapitalsZI","Linux Libertine Capitals","Linux Libertine Capitals Semibold Italic","Semibold","Semibold Italic Small Caps",,,,,,
"LinLibertineOB","LinLibertine_RB","Linux Libertine O","Linux Libertine O Bold","Bold","Bold","LinLibertineB","Linux Libertine","Linux Libertine Bold","Bold","Bold","fxlb","LinLibertineSlantedOB","LinLibertineCapitalsOB",,,
"LinLibertineSlantedOB","LinLibertine_aBL","Linux Libertine Slanted O","Linux Libertine Slanted O Bold","Bold","Bold Slanted","LinLibertineSlantedB","Linux Libertine Slanted","Linux Libertine Slanted Bold","Bold","Bold Slanted","fxlbo",,,,,
